route_id;start_port;start_iso3;start_country;start_port_available_from_year;end_port;end_iso3;end_country;end_port_available_from_year;distance_km_estimate;distance_method;route_type;oecd_relation;proposed_operation_year;ship_segments;route_preference_score;notes
R001;Rotterdam;NTH;Netherlands;2035;Hamburg;DEU;Germany;2035;579;searoute;regional_north_sea;OECD_OECD;2035;Bulk_carrier|Oil_tanker|Offshore_vessel|Passenger_ferry;50;North Sea OECD corridor
R002;Antwerp-Bruges;BEL;Belgium;2035;Hamburg;DEU;Germany;2035;670;searoute;regional_north_sea;OECD_OECD;2035;Bulk_carrier|Large_container|Offshore_vessel|Large_cruise;50;North Sea OECD corridor
R003;Rotterdam;NTH;Netherlands;2035;Singapore;SIG;Singapore;2035;15525;searoute;asia_europe_suez;OECD_nonOECD;2035;Large_container|Ultra_large_container|Oil_tanker;50;Core Asia-Europe via Suez/Malacca
R004;Antwerp-Bruges;BEL;Belgium;2035;Singapore;SIG;Singapore;2035;15486;searoute;asia_europe_suez;OECD_nonOECD;2035;Large_container|Ultra_large_container;50;Core Asia-Europe container corridor
R005;Hamburg;DEU;Germany;2035;Shanghai;CHI;China;2035;20079;searoute;asia_europe_suez;OECD_nonOECD;2035;Large_container|Ultra_large_container;50;Core Asia-Europe container corridor
R006;Rotterdam;NTH;Netherlands;2035;Shanghai;CHI;China;2035;19614;searoute;asia_europe_suez;OECD_nonOECD;2035;Large_container|Ultra_large_container|Bulk_carrier;50;Core Asia-Europe container and bulk corridor
R007;Singapore;SIG;Singapore;2035;Shanghai;CHI;China;2035;4099;searoute;intra_asia;nonOECD_nonOECD;2035;Large_container|Oil_tanker;50;East and Southeast Asia hub link
R008;Singapore;SIG;Singapore;2035;Jebel Ali;UAE;United Arab Emirates;2039;6486;searoute;middle_east_asia;nonOECD_nonOECD;2041;Large_container|Oil_tanker;50;Middle East to Asia hub link
R009;Jebel Ali;UAE;United Arab Emirates;2039;Rotterdam;NTH;Netherlands;2035;11631;searoute;asia_europe_suez;OECD_nonOECD;2039;Panamax_container|Large_container|Ultra_large_container|Oil_tanker;50;Middle East to European gateway
R010;Jebel Ali;UAE;United Arab Emirates;2039;Hamburg;DEU;Germany;2035;12097;searoute;asia_europe_suez;OECD_nonOECD;2041;Large_container|Ultra_large_container;50;Middle East to Northern Europe
R011;Jebel Ali;UAE;United Arab Emirates;2039;Shanghai;CHI;China;2035;10574;searoute;middle_east_asia;nonOECD_nonOECD;2041;Large_container|Ultra_large_container|Oil_tanker;50;Middle East to China corridor
R012;Jebel Ali;UAE;United Arab Emirates;2039;Algeciras;ESP;Spain;2048;9065;searoute;med_suez;OECD_nonOECD;2048;Large_container|Oil_tanker;50;Suez gateway to Western Mediterranean
R013;Shanghai;CHI;China;2035;Busan;SKO;South Korea;2038;869;searoute;intra_asia;OECD_nonOECD;2038;Large_container;50;Northeast Asia container feeder
R014;Busan;SKO;South Korea;2038;Singapore;SIG;Singapore;2035;4698;searoute;intra_asia;OECD_nonOECD;2038;Large_container;50;Northeast Asia to Southeast Asia
R017;Shanghai;CHI;China;2035;Tianjin;CHI;China;2046;1298;searoute;domestic_coastal;domestic;2046;Large_container|Ultra_large_container|Fishing_vessels;50;Chinese coastal container link
R018;Shanghai;CHI;China;2035;Hong Kong;CHI;China;2044;1554;searoute;domestic_coastal;domestic;2044;Large_container|Ultra_large_container|Fishing_vessels;50;China to Hong Kong container link
R019;Ningbo-Zhoushan;CHI;China;2043;Singapore;SIG;Singapore;2035;3889;searoute;intra_asia;nonOECD_nonOECD;2043;Large_container;50;China to Southeast Asian hub
R020;Shenzhen;CHI;China;2044;Singapore;SIG;Singapore;2035;2696;searoute;intra_asia;nonOECD_nonOECD;2044;Large_container;50;South China to Singapore
R023;Port Klang;MYS;Malaysia;2045;Singapore;SIG;Singapore;2035;529;searoute;intra_asia;nonOECD_nonOECD;2045;Large_container|Passenger_ferry;50;Malacca Strait regional link
R024;Port Klang;MYS;Malaysia;2045;Jebel Ali;UAE;United Arab Emirates;2039;6144;searoute;middle_east_asia;nonOECD_nonOECD;2045;Large_container|Ultra_large_container;50;Southeast Asia to Middle East
R025;Qingdao;CHI;China;2045;Busan;SKO;South Korea;2038;891;searoute;intra_asia;OECD_nonOECD;2045;Large_container;50;Northeast Asia container feeder
R026;Tianjin;CHI;China;2046;Busan;SKO;South Korea;2038;1281;searoute;intra_asia;OECD_nonOECD;2046;Large_container|Ultra_large_container|Fishing_vessels;50;Northeast Asia container feeder
R028;Laem Chabang;THA;Thailand;2047;Singapore;SIG;Singapore;2035;1486;searoute;intra_asia;nonOECD_nonOECD;2047;Large_container;50;Thailand to Singapore hub
R029;Laem Chabang;THA;Thailand;2047;Port Klang;MYS;Malaysia;2045;2004;searoute;intra_asia;nonOECD_nonOECD;2047;Large_container;50;Thailand to Malacca corridor
R030;Shanghai;CHI;China;2035;Los Angeles;USA;United States;2047;10675;searoute;transpacific;OECD_nonOECD;2047;Panamax_container|Ultra_large_container;50;China to US West Coast container corridor
R031;Busan;SKO;South Korea;2038;Los Angeles;USA;United States;2047;9806;searoute;transpacific;OECD_OECD;2047;Panamax_container;50;Korea to US West Coast container corridor
R032;Ningbo-Zhoushan;CHI;China;2043;Long Beach;USA;United States;2048;10772;searoute;transpacific;OECD_nonOECD;2048;Panamax_container|Ultra_large_container;50;China to US West Coast container corridor
R033;Shenzhen;CHI;China;2044;Long Beach;USA;United States;2048;12068;searoute;transpacific;OECD_nonOECD;2048;Panamax_container|Ultra_large_container;50;South China to US West Coast container corridor
